timestamp,AAPL,BTC-USD,EURUSD=X
2021-01-29,-0.35,-0.35,0.0
2021-02-01,0.0,0.35,-0.35
2021-02-02,0.0,0.0,0.0
2021-02-03,-0.19541369367930006,0.35,0.2219293862681243
2021-02-04,0.0,0.35,-0.2761391936121331
2021-02-05,0.0,0.35,0.0
2021-02-08,0.0,0.35,0.0
2021-02-09,0.0,0.35,0.0
2021-02-10,-0.35,-0.35,0.0
2021-02-11,-0.2951755287759014,0.35,-0.22055575558879778
2021-02-12,-0.35,0.0,0.0
2021-02-15,-0.35,0.0,0.0
2021-02-16,-0.35,0.0,0.0
2021-02-17,0.0,0.0,-0.35
2021-02-18,-0.35,0.0,-0.35
2021-02-19,-0.35,0.0,0.0
2021-02-22,0.0,0.0,-0.35
2021-02-23,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0
2021-02-25,0.35,0.0,0.0
2021-02-26,0.0,0.0,-0.35
2021-03-01,0.0,-0.35,-0.35
2021-03-02,0.35,0.0,-0.35
2021-03-03,-0.35,0.0,0.0
2021-03-04,-0.3260739630719416,0.35,-0.2716324283672595
2021-03-05,-0.35,0.0,-0.35
2021-03-08,-0.35,-0.35,0.0
2021-03-09,-0.35,0.0,0.0
2021-03-10,-0.2897725153441374,-0.35,0.3351691117369616
2021-03-11,-0.35,0.0,0.0
2021-03-12,0.0,0.0,0.0
2021-03-15,-0.35,0.0,0.0
2021-03-16,0.35,0.0,0.0
2021-03-17,-0.35,-0.35,0.0
2021-03-18,0.0,0.0,-0.35
2021-03-19,-0.35,0.0,0.0
2021-03-22,-0.290868089783303,-0.35,0.35
2021-03-23,-0.2892759551008339,0.35,0.35
2021-03-24,-0.35,0.0,0.0
2021-03-25,0.0,0.0,-0.35
2021-03-26,-0.35,-0.35,0.0
2021-03-29,0.0,-0.35,0.0
2021-03-30,-0.35,0.35,0.0
2021-03-31,-0.35,0.0,0.0
2021-04-01,0.0,0.0,-0.35
2021-04-02,0.35,-0.35,0.0
2021-04-05,0.3335148174063595,0.32533352782139385,-0.34115165477224646
2021-04-06,0.35,0.0,-0.35
2021-04-07,0.35,0.0,0.0
2021-04-08,-0.35,0.0,0.0
2021-04-09,-0.35,-0.35,0.0
2021-04-12,-0.35,0.0,0.0
2021-04-13,-0.33915955242462537,0.31560683005381107,-0.3452336175215636
2021-04-14,0.0,0.35,0.0
2021-04-15,0.0,0.0,-0.35
2021-04-16,0.35,0.0,0.0
2021-04-19,0.35,-0.35,0.0
2021-04-20,0.35,-0.35,0.0
2021-04-21,0.0,0.35,-0.35
2021-04-22,-0.35,-0.30594595838223365,-0.3227153545023972
2021-04-23,-0.35,0.3125130052215851,-0.3204012080848586
2021-04-26,-0.35,0.0,-0.35
2021-04-27,-0.35,-0.3365033458883785,-0.311692863200461
2021-04-28,-0.35,0.0,0.0
2021-04-29,-0.35,-0.3243987862487454,-0.3094487048084151
2021-04-30,0.28733338253794194,-0.35,-0.33437942939657
2021-05-03,0.0,0.35,-0.35
2021-05-04,0.2742497947258173,-0.35,-0.3474286891969242
2021-05-05,0.35,0.35,0.0
2021-05-06,0.0,0.0,0.0
2021-05-07,0.0,0.0,-0.35
2021-05-10,0.0,0.0,0.35
2021-05-11,0.0,-0.35,0.0
2021-05-12,0.0,0.35,0.0
2021-05-13,0.35,-0.35,0.0
2021-05-14,0.27225801946031186,-0.3382519533417659,-0.35
2021-05-17,0.35,-0.35,0.0
2021-05-18,0.0,0.0,0.35
2021-05-19,0.0,0.0,0.0
2021-05-20,-0.35,0.0,0.0
2021-05-21,-0.35,-0.35,0.0
2021-05-24,0.0,0.0,-0.35
2021-05-25,-0.27357913977439685,-0.33157373964196724,-0.35
2021-05-26,0.0,-0.35,-0.35
2021-05-27,0.35,0.0,0.0
2021-05-28,0.35,-0.35,0.0
2021-05-31,0.35,-0.35,0.0
2021-06-01,0.0,-0.35,0.0
2021-06-02,0.35,0.0,0.0
2021-06-03,0.0,0.35,0.0
2021-06-04,0.0,0.35,-0.35
2021-06-07,0.0,0.35,0.0
2021-06-08,-0.35,0.35,0.0
2021-06-09,0.35,0.0,0.0
2021-06-10,0.0,-0.35,0.0
2021-06-11,0.35,0.0,0.0
2021-06-14,0.0,-0.35,0.35
2021-06-15,0.35,-0.35,0.0
2021-06-16,0.35,0.35,0.0
2021-06-17,0.0,0.0,0.35
2021-06-18,0.0,0.0,0.35
2021-06-21,0.35,0.35,0.0
2021-06-22,0.0,-0.35,0.0
2021-06-23,0.0,-0.35,0.0
2021-06-24,0.0,-0.35,0.0
2021-06-25,0.0,-0.35,0.0
2021-06-28,-0.34376358511673116,-0.280530303649095,0.35
2021-06-29,0.0,-0.35,0.35
2021-06-30,0.3427481407819203,0.2870856668744774,0.35
2021-07-01,0.35,0.0,0.35
2021-07-02,0.3398348801806346,-0.309369529256653,0.35
2021-07-05,0.33169665482489286,-0.3122525483773737,0.35
2021-07-06,0.35,-0.35,0.0
2021-07-07,0.35,-0.35,0.0
2021-07-08,0.0,-0.35,0.0
2021-07-09,0.35,-0.35,0.0
2021-07-12,0.35,0.0,0.35
2021-07-13,0.0,-0.35,0.35
2021-07-14,0.0,-0.35,0.35
2021-07-15,0.0,-0.35,0.35
2021-07-16,0.0,0.0,0.35
2021-07-19,-0.2863466505959365,-0.35,0.33309833633567676
2021-07-20,-0.35,0.0,0.0
2021-07-21,0.35,-0.35,0.0
2021-07-22,0.0,0.0,0.0
2021-07-23,0.35,-0.35,0.0
2021-07-26,0.0,0.0,0.35
2021-07-27,0.0,-0.35,0.35
2021-07-28,0.0,0.0,0.35
2021-07-29,0.0,0.0,0.0
2021-07-30,0.0,0.0,0.35
2021-08-02,0.0,0.0,0.35
2021-08-03,0.0,0.0,0.35
2021-08-04,-0.35,0.0,0.35
2021-08-05,-0.35,0.0,0.0
2021-08-06,0.0,0.0,0.0
2021-08-09,0.0,-0.35,0.35
2021-08-10,-0.35,0.0,0.0
2021-08-11,-0.35,-0.35,0.0
2021-08-12,-0.35,-0.35,0.0
2021-08-13,-0.35,0.0,-0.35
2021-08-16,0.35,0.0,-0.35
2021-08-17,0.0,0.0,-0.35
2021-08-18,0.35,0.0,0.0
2021-08-19,0.35,-0.35,0.0
2021-08-20,0.35,-0.35,0.0
2021-08-23,0.35,-0.35,0.0
2021-08-24,0.35,0.0,0.0
2021-08-25,0.3240998153098858,-0.35,-0.2654016367821927
2021-08-26,0.35,0.0,-0.35
2021-08-27,0.0,0.0,0.0
2021-08-30,0.0,-0.35,0.0
2021-08-31,0.35,0.0,0.0
2021-09-01,0.35,0.35,0.0
2021-09-02,-0.35,0.0,0.35
